#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-23T00:37:41 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-23T00:37:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-out.src=J/MNRAS/371/703/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/371/703/catalog&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=E(B-V)&-out=SpType&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73710703
#Name: J/MNRAS/371/703
#Title: MILES library of empirical spectra (Sanchez-Blazquez+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/mnras/371/703	    IVOID of underlying data collection
#INFO	creator=Sanchez-Blazquez P.	    First author or institution
#INFO	cites=bibcode:2006MNRAS.371..703S	    Article or Data origin sources
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/371/703	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73710703	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_371_703_catalog:
#Name: J/MNRAS/371/703/catalog
#Title: MILES star catalogue (08 Apr 2024 corrected version)
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a16)	Object name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	E(B-V)	(F6.3)	? Redenning	[ucd=phot.color.excess]
#Column	SpType	(a14)	MK spectral type	[ucd=src.spType]
_RAJ2000;_DEJ2000;Name;RAJ2000;DEJ2000;E(B-V);SpType
216.7256667;+28.5890000;HD126778        ;14 26 54.16;+28 35 20.4; 0.000;K0III
216.8537917;-18.4112222;HD126681        ;14 27 24.91;-18 24 40.4; 0.000;G3 V
217.1575417;+49.8448611;HD127243        ;14 28 37.81;+49 50 41.5; 0.060;G3 IV
217.4033750;+41.7959167;HD127334        ;14 29 36.81;+41 47 45.3; 0.000;G5V
218.0561667;+17.4234167;BD+182890       ;14 32 13.48;+17 25 24.3; 0.020;
218.6700833;+29.7451389;HD128167        ;14 34 40.82;+29 44 42.5; 0.000;F2 V
219.2490833;-12.3053333;HD128429        ;14 36 59.78;-12 18 19.2; 0.000;F5V
219.7003750; +7.9111944;HD128801        ;14 38 48.09;+07 54 40.3; 0.026;B9
219.9459167;-26.6980556;CD-2610417      ;14 39 47.02;-26 41 53.0; 0.000;K5V
220.1806667;-26.7296944;HD128959        ;14 40 43.36;-26 43 46.9; 0.050;F7V
220.1815417;+16.4183333;HD129174        ;14 40 43.57;+16 25 06.0; 0.007;B9p+...
221.7133750;-27.2483333;HD130095        ;14 46 51.21;-27 14 54.0; 0.068;B9V
221.8863750; -0.2814722;HD130322        ;14 47 32.73;-00 16 53.3; 0.025;K0III
222.2780833;+37.8111667;HD130817        ;14 49 06.74;+37 48 40.2; 0.013;F2V
222.3589583;+10.0441667;HD130705        ;14 49 26.15;+10 02 39.0; 0.000;K4 II-III
222.5721250;-27.9603611;HD130694        ;14 50 17.31;-27 57 37.3; 0.058;K4III
223.5838750;-24.6421944;HD131430        ;14 54 20.13;-24 38 31.9; 0.035;K2/K3III
223.7960000;+53.6803333;HD132142        ;14 55 11.04;+53 40 49.2; 0.000;K1 V
224.1921250;-11.4096944;HD131918        ;14 56 46.11;-11 24 34.9; 0.037;K4 III
224.3605833;-21.4115278;HD131976        ;14 57 26.54;-21 24 41.5; 0.000;M1 V
224.3666667;-21.4154722;HD131977        ;14 57 28.00;-21 24 55.7; 0.000;K4 V
224.7232500;-11.1440000;HD132345        ;14 58 53.58;-11 08 38.4; 0.000;K3 III-IVp
224.9573333;-22.0127222;HD132475        ;14 59 49.76;-22 00 45.8; 0.000;F6 V
225.4538333; -0.1403056;HD132933        ;15 01 48.92;-00 08 25.1; 0.000;M0.5 IIb
225.5271250;+25.0081389;HD133124        ;15 02 06.51;+25 00 29.3; 0.010;K4III
226.2230417; +5.6380833;BD+062986       ;15 04 53.53;+05 38 17.1; 0.006;K5
226.7242917;+30.0102500;BD+302611       ;15 06 53.83;+30 00 36.9; 0.010;G8III
226.8143333;+22.5643611;HD134063        ;15 07 15.44;+22 33 51.7; 0.019;G5 III
226.8252500;+24.8691944;HD134083        ;15 07 18.06;+24 52 09.1; 0.000;F5 V
227.0752500; +3.9305833;HD134169        ;15 08 18.06;+03 55 50.1; 0.000;G1 Vw
227.5540417;-16.4629167;HD134440        ;15 10 12.97;-16 27 46.5; 0.000;K0V:
227.5545417;-16.3793889;HD134439        ;15 10 13.09;-16 22 45.8; 0.005;K0/K1V
228.3694583;-25.3093333;HD134987        ;15 13 28.67;-25 18 33.6; 0.026;G5V
228.6597500;+67.3467222;HD136064        ;15 14 38.34;+67 20 48.2; 0.010;F9IV
228.7972917; +4.9393611;HD135482        ;15 15 11.35;+04 56 21.7; 0.023;K0III
228.8756667;+33.3148333;HD135722        ;15 15 30.16;+33 18 53.4; 0.004;G8 III
228.9385833;-14.6929167;HD135485        ;15 15 45.26;-14 41 34.5; 0.070;B3V
229.2745417;+71.8238889;HD136726        ;15 17 05.89;+71 49 26.0; 0.070;K4III
229.8283333; +1.7654167;HD136202        ;15 19 18.80;+01 45 55.5; 0.030;F8 III-IV
230.6557083;+39.5814722;HD137071        ;15 22 37.37;+39 34 53.3; 0.106;K4III
230.6772917; +1.4186389;HD136834        ;15 22 42.55;+01 25 07.1; 0.010;K3V
231.1226250;+37.3771667;HD137391        ;15 24 29.43;+37 22 37.8; 0.004;F0 V
231.2323750;+58.9660556;HD137759        ;15 24 55.77;+58 57 57.8; 0.000;K2 III
231.4475000;+15.4280278;HD137471        ;15 25 47.40;+15 25 40.9; 0.034;M1 III
231.4719583;+19.4806944;HD137510        ;15 25 53.27;+19 28 50.5; 0.028;G0IV-V
231.5724167;+34.3360000;HD137704        ;15 26 17.38;+34 20 09.6; 0.016;K4III
231.9572083;+29.1056944;HD137909        ;15 27 49.73;+29 06 20.5; 0.079;F0p
232.7309583; +8.5790833;HD138290        ;15 30 55.43;+08 34 44.7; 0.015;F4Vw
232.7323333;+40.8330556;HD138481        ;15 30 55.76;+40 49 59.0; 0.084;K5III
232.8538750;+77.3493611;HD139669        ;15 31 24.93;+77 20 57.7; 0.010;K5 III
233.5705000; -2.7240556;HD138776        ;15 34 16.92;-02 43 26.6; 0.069;K0
233.6104583; -9.1834167;HD138764        ;15 34 26.51;-09 11 00.3; 0.050;B6IV
234.1232500;+10.0101667;HD139195        ;15 36 29.58;+10 00 36.6; 0.000;K0p
234.4566667;+40.3534444;HD139641        ;15 37 49.60;+40 21 12.4; 0.020;G7.5IIIb
234.7273333;-19.3018889;HD139446        ;15 38 54.56;-19 18 06.8; 0.017;G8III/IV
235.4475417;+12.8475278;HD140160        ;15 41 47.41;+12 50 51.1; 0.022;A0p...
235.7629167;-10.9335000;HD140283        ;15 43 03.10;-10 56 00.6; 0.017;F3 VI
236.4683333; +5.0407222;BD+053080       ;15 45 52.40;+05 02 26.6; 0.000;K2
236.6108750; +7.3530833;HD141004        ;15 46 26.61;+07 21 11.1; 0.016;G0 Vvar
237.3985417;+26.0683889;HD141714        ;15 49 35.65;+26 04 06.2; 0.017;G3.5 III
237.8149583; -3.0905000;HD141851        ;15 51 15.59;-03 05 25.8; 0.123;A3Vn
238.1689167;+42.4515278;HD142373        ;15 52 40.54;+42 27 05.5; 0.000;F9 V
238.7618333; +5.0700278;HD142575        ;15 55 02.84;+05 04 12.1; 0.019;F0V
238.9482917;+37.9469444;HD142908        ;15 55 47.59;+37 56 49.0; 0.004;F0IV
239.1132500;+15.6616111;HD142860        ;15 56 27.18;+15 39 41.8; 0.000;F6 V
239.1390417;-14.8294444;HD142703        ;15 56 33.37;-14 49 46.0; 0.036;A2Ib/II
240.1984583; -8.4113611;HD143459        ;16 00 47.63;-08 24 40.9; 0.106;A0Vs
240.2610833;+33.3035000;HD143761        ;16 01 02.66;+33 18 12.6; 0.000;G2 V
240.3567500;-22.6778611;MS1558.4-2232   ;16 01 25.62;-22 40 40.3;      ;K3e
240.3606667;+29.8510556;HD143807        ;16 01 26.56;+29 51 03.8; 0.024;A0p...
241.1232917; +0.6722222;HD144172        ;16 04 29.59;+00 40 20.0; 0.000;F8
241.6233333;+38.6322500;HD144872        ;16 06 29.60;+38 37 56.1; 0.002;K3 V
241.7640417;-14.0712778;HD144585        ;16 07 03.37;-14 04 16.6; 0.014;G5 V
241.8513750;-20.8687500;HD144608        ;16 07 24.33;-20 52 07.5; 0.005;G6/G8III
242.2967083; +6.3786944;HD145148        ;16 09 11.21;+06 22 43.3; 0.000;K0 IV
242.6012917;+43.8176389;HD145675        ;16 10 24.31;+43 49 03.5; 0.000;K0 V
242.7586250;-29.4162222;HD145250        ;16 11 02.07;-29 24 58.4; 0.018;K3III
243.1894583;+26.6705833;HD145976        ;16 12 45.47;+26 40 14.1; 0.018;F3V
243.5864167; -3.6943333;HD146051        ;16 14 20.74;-03 41 39.6; 0.000;M0.5 III
244.1887917;+67.2562500;HD147379B       ;16 16 45.31;+67 15 22.5; 0.000;M3 V
244.5745833;-28.6140278;HD146624        ;16 18 17.90;-28 36 50.5; 0.046;A0V:
245.4009583;+56.8770833;HD147923        ;16 21 36.23;+56 52 37.5; 0.008;M...
245.8621250;-11.5946111;BD-114126       ;16 23 26.91;-11 35 40.6; 0.097;K3V
246.3539583;+14.0332778;HD148112        ;16 25 24.95;+14 01 59.8; 0.019;B9p...
040.3067917; +9.7700278;BD+090352       ;02 41 13.63;+09 46 12.1; 0.000;F2
247.1415833; +0.6650000;HD148513        ;16 28 33.98;+00 39 54.0; 0.000;K4 IIIp
247.5699167;+10.9976944;BD+112998       ;16 30 16.78;+10 59 51.7; 0.024;F8
247.6185833; +4.1782222;HD148816        ;16 30 28.46;+04 10 41.6; 0.000;F9 V
247.6397917;+20.4791944;HD148897        ;16 30 33.55;+20 28 45.1; 0.026;G8p
247.6616667;+77.4465000;HD150275        ;16 30 38.80;+77 26 47.4; 0.000;K1 III
247.7848750;-16.6127222;HD148786        ;16 31 08.37;-16 36 45.8; 0.036;G8/K0III
247.8059583;+22.1954444;HD149009        ;16 31 13.43;+22 11 43.6; 0.075;K5 III
248.0341667;-21.4663889;HD148898        ;16 32 08.20;-21 27 59.0; 0.077;Ap
248.1486667; +5.5212222;HD149121        ;16 32 35.68;+05 31 16.4; 0.007;B9.5III
248.1512083;+11.4880278;HD149161        ;16 32 36.29;+11 29 16.9; 0.000;K4 III
248.3982500; +9.1045278;BD+093223       ;16 33 35.58;+09 06 16.3; 0.045;III
248.5972083; -4.0144444;HD149382        ;16 34 23.33;-04 00 52.0; 0.076;B5
249.0893750; -2.3245833;HD149661        ;16 36 21.45;-02 19 28.5; 0.000;K0 V
249.4500417;+13.6870278;HD150012        ;16 37 48.01;+13 41 13.3; 0.000;F5III-IV
249.9130417; -9.5545833;HD150177        ;16 39 39.13;-09 33 16.5; 0.000;F3 V
249.9582500; +5.5071944;HD150281        ;16 39 49.98;+05 30 25.9; 0.000;K0
250.4737083;-19.9243889;HD150453        ;16 41 53.69;-19 55 27.8; 0.014;F3V
251.3438333;+15.7452778;HD151203        ;16 45 22.52;+15 44 43.0; 0.100;M3 IIIab
251.4578750; +8.5826111;HD151217        ;16 45 49.89;+08 34 57.4; 0.100;K5 III
253.6487083; -6.1539722;HD152601        ;16 54 35.69;-06 09 14.3; 0.146;K2III
254.0076667;-16.8062500;HD152781        ;16 56 01.84;-16 48 22.5; 0.048;K0/K1III/IV
254.0190000;+47.3707778;HD153286        ;16 56 04.56;+47 22 14.8; 0.025;Am
255.3877083;+14.9497222;HD153882        ;17 01 33.05;+14 56 59.0; 0.051;B9p...
256.5752083;+22.0841389;HD154733        ;17 06 18.05;+22 05 02.9; 0.018;K3III
257.1966250;+65.7146944;HD155763        ;17 08 47.19;+65 42 52.9; 0.030;B6III
257.3942500;+33.3558611;HD155358        ;17 09 34.62;+33 21 21.1; 0.000;G0
257.4497917;-10.5233056;HD155078        ;17 09 47.95;-10 31 23.9; 0.032;F5IV
258.7617917;+36.8091667;HD156283        ;17 15 02.83;+36 48 33.0; 0.196;K3IIvar
259.0556667;-26.5461389;HD156026        ;17 16 13.36;-26 32 46.1; 0.083;K5V
260.1407500;+48.1887778;HD157373        ;17 20 33.78;+48 11 19.6; 0.010;F4V
260.1648750;+32.4677500;HD157214        ;17 20 39.57;+32 28 03.9; 0.000;G0 V
260.2793750; +1.4430556;HD157089        ;17 21 07.05;+01 26 35.0; 0.000;F9 V
261.1129583;+36.9519167;HD157910        ;17 24 27.11;+36 57 06.9; 0.018;G5 III
261.4384583; +2.1114167;HD157881        ;17 25 45.23;+02 06 41.1; 0.000;K7 V
261.4911667; -1.6517778;HD157856        ;17 25 57.88;-01 39 06.4; 0.000;F3V
261.8386250;-29.8670278;HD157919        ;17 27 21.27;-29 52 01.3; 0.021;F3III
263.1734167;+23.7365556;BD+233130       ;17 32 41.62;+23 44 11.6; 0.000;G0
263.3450833;+19.2566667;HD159332        ;17 33 22.82;+19 15 24.0; 0.000;F6 V
263.5350833; -3.0556111;HD159307        ;17 34 08.42;-03 03 20.2; 0.021;F8
263.6794167; +6.0143333;HD159482        ;17 34 43.06;+06 00 51.6; 0.004;G0V
264.1664167;+69.5707222;HD160933        ;17 36 39.94;+69 34 14.6; 0.000;F9V
264.8662083;+46.0063333;HD160762        ;17 39 27.89;+46 00 22.8; 0.022;B3IV
264.9036250;+37.1837500;HD160693        ;17 39 36.87;+37 11 01.5; 0.000;G0 V
265.6181667;+24.5640556;HD161074        ;17 42 28.36;+24 33 50.6; 0.005;K4III
265.8417500;+14.2951667;HD161149        ;17 43 22.02;+14 17 42.6; 0.043;F5II
265.8681250; +4.5673056;HD161096        ;17 43 28.35;+04 34 02.3; 0.000;K2III
266.2311250;+50.0443056;HD161796        ;17 44 55.47;+50 02 39.5; 0.000;F3Ib
266.2468333;-16.7629167;HD161227        ;17 44 59.24;-16 45 46.5; 0.208;Fm
266.4176250;+31.5046667;HD161695        ;17 45 40.23;+31 30 16.8; 0.013;A0Ib
266.6147083;+27.7206667;HD161797        ;17 46 27.53;+27 43 14.4; 0.000;G5 IV
266.6692917;+25.7491389;HD161817        ;17 46 40.63;+25 44 56.9; 0.048;A2 VI (HB)
267.2047917;+25.6228611;HD162211        ;17 48 49.15;+25 37 22.3; 0.001;K2III
268.6801250;+20.2712222;BD+203603       ;17 54 43.23;+20 16 16.4; 0.010;F0
269.1515417;+51.4888889;HD164058        ;17 56 36.37;+51 29 20.0; 0.000;K5 III
269.2022083;+45.3508611;HD163990        ;17 56 48.53;+45 21 03.1; 0.000;M6Svar
269.4411667;+29.2478889;HD163993        ;17 57 45.88;+29 14 52.4; 0.000;G8 III
269.6256250;+30.1892778;HD164136        ;17 58 30.15;+30 11 21.4; 0.036;F2 II
270.0142500;+16.7509167;HD164349        ;18 00 03.42;+16 45 03.3; 0.001;K0.5 IIb
270.1613333; +2.9315556;HD164353        ;18 00 38.72;+02 55 53.6; 0.190;B5 Ib
270.2202500; +6.2683056;HD164432        ;18 00 52.86;+06 16 05.9; 0.160;B2IV
271.1669583; +3.7790833;HD165195        ;18 04 40.07;+03 46 44.7; 0.095;K3p
271.2550833;-29.5800833;HD164975        ;18 05 01.22;-29 34 48.3; 0.427;G0Ib/II
271.3636667; +2.5000833;HD165341        ;18 05 27.28;+02 30 00.3; 0.031;K0V
271.5633333; -4.7512500;HD165438        ;18 06 15.20;-04 45 04.5; 0.015;K1IV
271.7564167;+30.5621389;HD165908        ;18 07 01.54;+30 33 43.7; 0.009;F7 V
271.8697500;+43.4618889;HD166208        ;18 07 28.74;+43 27 42.8; 0.026;G8III...
272.0207500;-28.4570833;HD165634        ;18 08 04.98;-28 27 25.5; 0.039;K0IIICNpvar
272.4058750;+38.4577778;HD166620        ;18 09 37.41;+38 27 28.0; 0.000;K2 V
272.4195000; -8.7793333;HD166161        ;18 09 40.68;-08 46 45.6; 0.152;G5
272.4750417; +3.1198333;HD166285        ;18 09 54.01;+03 07 11.4; 0.000;F5V
272.6679167; +3.3242500;HD166460        ;18 10 40.30;+03 19 27.3; 0.023;K2III
272.7762917;+50.7923333;HD167105        ;18 11 06.31;+50 47 32.4; 0.038;A0
272.9756667;+31.4053333;HD167006        ;18 11 54.16;+31 24 19.2; 0.000;M3 III
274.2212500; -3.0073889;HD167768        ;18 16 53.10;-03 00 26.6; 0.060;G3 III
274.2447500;+68.7414444;HD169027        ;18 16 58.74;+68 44 29.2; 0.031;A0
274.2783750;+40.9367222;HD168322        ;18 17 06.81;+40 56 12.2; 0.000;G8.5 IIIb
274.3489583;-28.2889722;HD167665        ;18 17 23.75;-28 17 20.3; 0.000;F8V
275.0746250;+21.9613056;HD168720        ;18 20 17.91;+21 57 40.7; 0.023;M1 III
275.3275000; -2.8988333;HD168723        ;18 21 18.60;-02 53 55.8; 0.000;K0III-IV
275.3457917;-18.8600000;HD168608        ;18 21 22.99;-18 51 36.0; 0.193;F8II
276.4964167;+65.5634722;HD170693        ;18 25 59.14;+65 33 48.5; 0.000;K1.5 III
276.8021250; +0.1961111;HD169985        ;18 27 12.51;+00 11 46.0; 0.204;G0III+...
277.4754583;+26.6572778;HD170737        ;18 29 54.11;+26 39 26.2; 0.025;G8III-IV
278.4823750;+51.7191389;HD234677        ;18 33 55.77;+51 43 08.9; 0.003;K7Vvar
278.7599583;-10.9771944;HD171391        ;18 35 02.39;-10 58 37.9; 0.024;G8III
278.8017917; -8.2440833;HD171443        ;18 35 12.43;-08 14 38.7; 0.003;K3 III
279.0312083;-24.4364722;HD171496        ;18 36 07.49;-24 26 11.3; 0.151;G8IV
279.4950833; -6.8054722;HD171999        ;18 37 58.82;-06 48 19.7; 0.000;G5
279.5270000;+39.6683333;HD172380        ;18 38 06.48;+39 40 06.0; 0.000;M4-5 II
279.5791667; -1.1129722;HD172103        ;18 38 19.00;-01 06 46.7; 0.086;F1IV-V
279.9036667; +5.2642778;HD172365        ;18 39 36.88;+05 15 51.4; 0.167;F8 Ib-II
280.4221250;+31.6176111;HD172958        ;18 41 41.31;+31 37 03.4; 0.072;B8 V
280.6581250;+55.5394444;HD173524        ;18 42 37.95;+55 32 22.0; 0.015;B9.5p...
280.6954167;+59.6268333;HD173740        ;18 42 46.90;+59 37 36.6; 0.001;M5 V
280.7295833;-19.2841944;HD172816        ;18 42 55.10;-19 17 03.1; 0.000;M5.2 III
280.9634583; -6.8181111;HD173093        ;18 43 51.23;-06 49 05.2; 0.000;F7V
281.1931667;+37.6051111;HD173648        ;18 44 46.36;+37 36 18.4; 0.010;Am
281.3984167;+21.9846944;HD173650        ;18 45 35.62;+21 59 04.9; 0.090;B9p...
281.4155000;+20.5463056;HD173667        ;18 45 39.72;+20 32 46.7; 0.000;F6V
281.7768333;+74.7253889;HD175305        ;18 47 06.44;+74 43 31.4; 0.000;G5 III
281.8706250; -5.7051389;HD173819        ;18 47 28.95;-05 42 18.5; 0.260;K0Ibpvar
282.4336667;+31.6294444;HD174567        ;18 49 44.08;+31 37 46.0; 0.068;A0Vs
282.8549167;+38.6265833;HD174912        ;18 51 25.18;+38 37 35.7; 0.000;F8
282.8955833;+52.9751111;HD175225        ;18 51 34.94;+52 58 30.4; 0.016;G9IVa
282.9021667;+36.5390833;HD174959        ;18 51 36.52;+36 32 20.7; 0.040;B6IV
283.0275000; -9.0826667;HD174704        ;18 52 06.60;-09 04 57.6; 0.100;F1 Vp
283.3064167;+50.7082222;HD175535        ;18 53 13.54;+50 42 29.6; 0.007;G7 IIIa
283.6261667;+36.8986111;HD175588        ;18 54 30.28;+36 53 55.0; 0.000;M4 II
283.8337500;+43.9460833;HD175865        ;18 55 20.10;+43 56 45.9; 0.000;M5 III
284.0944167; -1.7998611;HD175640        ;18 56 22.66;-01 47 59.5; 0.044;B9III
284.4882500;+77.0508333;HD178089        ;18 57 57.18;+77 03 03.0; 0.018;F2V
284.6034583;-22.5295000;HD175892        ;18 58 24.83;-22 31 46.2; 0.020;A1V
284.6877083;+19.7943889;HD176301        ;18 58 45.05;+19 47 39.8; 0.074;B7 III-IV
284.6955000;+13.9066389;HD176232        ;18 58 46.92;+13 54 23.9; 0.055;A4p(EuCrSr)
284.7359167;+32.6895556;HD176437        ;18 58 56.62;+32 41 22.4; 0.020;B9III
286.2402917; -4.0314167;HD177463        ;19 04 57.67;-04 01 53.1; 0.027;K1III
288.1387500;+67.6615278;HD180711        ;19 12 33.30;+67 39 41.5; 0.030;G9 III
288.4279167; +2.2936944;HD179761        ;19 13 42.70;+02 17 37.3; 0.030;B8II-III
288.4395417;+39.1459722;HD180163        ;19 13 45.49;+39 08 45.5; 0.070;B2.5IV
289.2141250;+46.9991111;HD181096        ;19 16 51.39;+46 59 56.8; 0.010;F6IV:
289.7504167;-15.5365556;HD180928        ;19 19 00.10;-15 32 11.6; 0.120;K4 III
289.7547917;+37.4453333;HD181470        ;19 19 01.15;+37 26 43.2; 0.048;A0III
290.8008750;+20.2779444;HD182293        ;19 23 12.21;+20 16 40.6; 0.012;K3 IVp
291.0765000;+85.3658889;HD187216        ;19 24 18.36;+85 21 57.2; 0.127;R...
291.2425000;+11.9444167;HD182572        ;19 24 58.20;+11 56 39.9; 0.031;G8 IVvar
292.2541250; +1.9504444;HD183324        ;19 29 00.99;+01 57 01.6; 0.028;A0V
293.0865833;-23.8535278;CD-2415398      ;19 32 20.78;-23 51 12.7; 0.097;F0
293.0899583;+69.6611667;HD185144        ;19 32 21.59;+69 39 40.2; 0.007;K0 V
293.1329583;+26.3905833;HD338529        ;19 32 31.91;+26 23 26.1; 0.010;B5
293.3628333;+33.2018611;HD184499        ;19 33 27.08;+33 12 06.7; 0.000;G0 V
293.4233750;+49.2623056;HD184786        ;19 33 41.61;+49 15 44.3; 0.326;M4.5III
293.5222917; +7.3789444;HD184406        ;19 34 05.35;+07 22 44.2; 0.000;K3 III
294.1582500;+44.6949444;HD185351        ;19 36 37.98;+44 41 41.8; 0.000;K0III
294.4862917;+49.2844167;HD185657        ;19 37 56.71;+49 17 03.9; 0.000;G6V
294.5502917;+16.8071111;HD232078        ;19 38 12.07;+16 48 25.6; 0.629;K4-5 III-II
295.1180000;+20.4770833;HD185859        ;19 40 28.32;+20 28 37.5; 0.625;B0.5 Iae
295.4539583;+50.5250556;HD186408        ;19 41 48.95;+50 31 30.2; 0.000;G2 V
295.4665417;+50.5175278;HD186427        ;19 41 51.97;+50 31 03.1; 0.000;G5 V
297.0431250;+70.2679167;HD188119        ;19 48 10.35;+70 16 04.5; 0.010;G8III
297.1648750;-12.1221389;HD187111        ;19 48 39.57;-12 07 19.7; 0.000;G8III/IVw
297.6555417;+40.5997500;HD187879        ;19 50 37.33;+40 35 59.1; 0.220;B1III
297.7568333;+10.4157222;HD187691        ;19 51 01.64;+10 24 56.6; 0.030;F8 V
297.8787917;+27.4602222;HD187921        ;19 51 30.91;+27 27 36.8; 0.952;K0var
298.3280417; -3.1144722;HD188041        ;19 53 18.73;-03 06 52.1; 0.048;A5pvar
298.7010417;+36.9956667;HD188650        ;19 54 48.25;+36 59 44.4; 0.131;Fp
298.7903333;+10.7409444;HD188510        ;19 55 09.68;+10 44 27.4; 0.000;G5 Vwe
298.8282917; +6.4067500;HD188512        ;19 55 18.79;+06 24 24.3; 0.034;G8 IVvar
299.0052500;+16.6348056;HD188727        ;19 56 01.26;+16 38 05.3; 0.309;G5 Ib var
299.0765417;+35.0834167;HD188947        ;19 56 18.37;+35 05 00.3; 0.001;K0IIIvar
299.7383333;-26.1957778;HD189005        ;19 58 57.20;-26 11 44.8; 0.029;G8II/III
300.2510000;-12.2556389;HD189558        ;20 01 00.24;-12 15 20.3; 0.000;G0/G1V
300.2752083;+27.7535833;HD189849        ;20 01 06.05;+27 45 12.9; 0.027;A4III
300.9058333;+29.8968056;HD190360        ;20 03 37.40;+29 53 48.5; 0.000;G6 IV + M6 V
300.9672083;+23.3407222;HD190404        ;20 03 52.13;+23 20 26.6; 0.000;K1V
301.1507083;+32.2185833;HD190603        ;20 04 36.17;+32 13 06.9; 0.728;B1.5 Iae
301.2061250;-28.2736667;HD190178        ;20 04 49.47;-28 16 25.2; 0.002;F3V
301.2725417;-11.5994167;HD190390        ;20 05 05.41;-11 35 57.9; 0.162;F1III
301.5907083;+35.9724722;HD191026        ;20 06 21.77;+35 58 20.9; 0.000;K0IV
301.6207917;+36.2266389;HD191046        ;20 06 28.99;+36 13 35.9; 0.040;K0 III
302.2222917;+77.7114167;HD192907        ;20 08 53.35;+77 42 41.1; 0.020;B9III
302.7006667;+23.9651389;HD345957        ;20 10 48.16;+23 57 54.5; 0.000;G0Vwe
303.4079167;+46.7413611;HD192577        ;20 13 37.90;+46 44 28.9;      ;K2II+...
303.6334583;+36.8063056;HD192640        ;20 14 32.03;+36 48 22.7; 0.026;A2V
303.8680000;+47.7141944;HD192909        ;20 15 28.32;+47 42 51.1; 0.016;K3Ib-II+?
305.1161667;-29.1972222;HD193281        ;20 20 27.88;-29 11 50.0; 0.065;A5/A6V
306.5496667; +9.4501111;HD194598        ;20 26 11.92;+09 27 00.4; 0.000;F7 V-VI
307.2150417;-17.8136944;HD194943        ;20 28 51.61;-17 48 49.3; 0.006;F3V
307.8767083;+74.9546111;HD196502        ;20 31 30.41;+74 57 16.6; 0.134;A0p...
308.0999583; +6.5175833;HD195633        ;20 32 23.99;+06 31 03.3; 0.023;G0 Vw
308.5487500;-13.7210833;HD195838        ;20 34 11.70;-13 43 15.9; 0.000;G0V
309.4546667;+11.3776667;HD196544        ;20 37 49.12;+11 22 39.6; 0.011;A2V
309.7824167;+10.0861944;HD196755        ;20 39 07.78;+10 05 10.3; 0.014;G5IV+...
310.2605833;+32.3072778;HD197177        ;20 41 02.54;+32 18 26.2; 0.006;G8IIb
310.8507917;+35.5878056;HD197572        ;20 43 24.19;+35 35 16.1; 0.524;G8Ib
310.8647083;+15.0745833;HD197461        ;20 43 27.53;+15 04 28.5; 0.013;A7IIIp...
311.3223750;+61.8387778;HD198149        ;20 45 17.37;+61 50 19.6; 0.000;K0 IV
311.5528333;+33.9702500;HD197989        ;20 46 12.68;+33 58 12.9; 0.019;K0III
311.6645833;+16.1243056;HD197964        ;20 46 39.50;+16 07 27.5; 0.013;K1IV
311.8522500;+36.4907222;HD198183        ;20 47 24.54;+36 29 26.6; 0.030;B5 V
311.9189583; -9.4957778;HD198001        ;20 47 40.55;-09 29 44.8; 0.019;A1V
312.2113333; +5.1996667;BD+044551       ;20 48 50.72;+05 11 58.8; 0.000;F7Vwe
